AST;,0.01, ,13.17,0.0,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.17,-99,-99,24
AST;,0.01, ,13.18,0.0,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.18,-99,-99,26
AST;,0.01, ,13.19,0.0,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.19,-99,-99,28
AST;,0.01, ,13.20,0.0,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.20,-99,-99,30
AST;,0.01, ,13.21,0.0,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.21,-99,-99,32
AST;,0.01, ,13.22,0.0,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.22,-99,-99,34
SCV;,0,0,0,0.00,0.00,0, ,200,1.00,0.75,0.50,-1, ,0,0, ,12,2.392,10000, ,0,-1
AST;,0.01, ,13.25,4.8,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.25,-99,-99,36
AST;,0.01, ,13.29,10.9,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.29,-99,-99,38
AST;,0.01, ,13.37,27.7,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.37,-99,-99,40
AST;,0.01, ,13.42,37.9,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.42,-99,-99,42
AST;,0.01, ,13.47,46.8,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.47,-99,-99,44
AST;,0.01, ,13.51,55.2,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.51,-99,-99,46
AST;,0.01, ,13.54,60.7,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.54,-99,-99,48
AST;,0.01, ,13.59,70.9,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.59,-99,-99,50
AST;,0.01, ,13.63,79.0,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.63,-99,-99,51
AST;,0.01, ,13.67,86.7,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.67,-99,-99,54
AST;,0.01, ,13.73,97.9,0.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.73,-99,-99,55
AST;,0.01, ,13.78,109.6,109.6,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.78,-99,-99,58
NPC;,1,ALTREG,1234
AST;,0.01, ,13.78,107.8,107.8,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.78,-99,-99,59
AST;,0.01, ,13.86,124.4,124.4,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.86,-99,-99,62
AST;,0.01, ,13.88,129.0,129.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.88,-99,-99,63
AST;,0.01, ,13.92,137.2,137.2,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.92,-99,-99,66
AST;,0.01, ,13.95,143.0,143.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.95,-99,-99,67
AST;,0.01, ,13.96,142.8,142.8,0, ,14.54,1000,15000,5, ,80,95, ,0, ,13.96,-99,-99,70
AST;,0.01, ,14.00,151.7,151.7,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.00,-99,-99,71
AST;,0.01, ,14.06,164.3,164.3,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.06,-99,-99,74
AST;,0.01, ,14.06,163.7,163.7,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.06,-99,-99,75
AST;,0.01, ,14.09,169.5,169.5,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.09,-99,-99,77
AST;,0.01, ,14.13,178.9,178.9,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.13,-99,-99,79
AST;,0.01, ,14.15,182.4,182.4,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.15,-99,-99,81
SST;,AREG1.0.1, ,0,0, ,3,4.00,1.00, ,0,0, ,0,0
AST;,0.02, ,14.16,183.4,183.4,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.16,-99,-99,83
AST;,0.02, ,14.18,187.0,187.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.18,-99,-99,85
AST;,0.02, ,14.22,195.0,195.0,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.22,-99,-99,87
AST;,0.02, ,14.25,201.4,201.4,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.25,-99,-99,88
AST;,0.02, ,14.28,206.7,206.7,0, ,14.54,1000,15000,5, ,80,95, ,0, ,14.28,-99,-99,91
